Date,Open,High,Low,Close,Adj Close,Volume,Rtx
1980-12-12,0.128348,0.128906,0.128348,0.128348,0.1006,469033600,
1980-12-15,0.12221,0.12221,0.121652,0.121652,0.095352,175884800,-5.216699801192837
1980-12-16,0.113281,0.113281,0.112723,0.112723,0.088353,105728000,-7.34017115529827
1980-12-17,0.115513,0.116071,0.115513,0.115513,0.09054,86441600,2.475297952531319
1980-12-18,0.118862,0.11942,0.118862,0.118862,0.093165,73449600,2.899271040424134
1980-12-19,0.126116,0.126674,0.126116,0.126116,0.098851,48630400,6.103150324692752
1980-12-22,0.132254,0.132813,0.132254,0.132254,0.103662,37363200,4.8669209213867415
1980-12-23,0.137835,0.138393,0.137835,0.137835,0.108036,46950400,4.219482549053644
1980-12-24,0.145089,0.145647,0.145089,0.145089,0.113722,48003200,5.263060461327718
1980-12-26,0.158482,0.15904,0.158482,0.158482,0.124219,55574400,9.230403967570023
1980-12-29,0.160714,0.161272,0.160714,0.160714,0.125969,93161600,1.4088021961213615
1980-12-30,0.157366,0.157366,0.156808,0.156808,0.122907,68880000,-2.4307567734918822
1980-12-31,0.152902,0.152902,0.152344,0.152344,0.119408,35750400,-2.8468679570732403
1981-01-02,0.154018,0.155134,0.154018,0.154018,0.12072,21660800,1.0987538523381968
1981-01-05,0.151228,0.151228,0.15067,0.15067,0.118096,35728000,-2.1736249171636746
1981-01-06,0.144531,0.144531,0.143973,0.143973,0.112847,45158400,-4.444689066522156
1981-01-07,0.138393,0.138393,0.137835,0.137835,0.108036,55686400,-4.263294549256969
1981-01-08,0.135603,0.135603,0.135045,0.135045,0.105849,39827200,-2.0243252249250165
1981-01-09,0.142299,0.142857,0.142299,0.142299,0.111535,21504000,5.371803229128291
1981-01-12,0.142299,0.142299,0.141183,0.141183,0.11066,23699200,-0.7845071053929287
1981-01-13,0.136719,0.136719,0.136161,0.136161,0.106724,23049600,-3.5568407735405705
1981-01-14,0.136719,0.137277,0.136719,0.136719,0.107161,14291200,0.4094674112664398
1981-01-15,0.139509,0.140625,0.139509,0.139509,0.109348,14067200,2.0408544153190045
1981-01-16,0.138951,0.138951,0.138393,0.138393,0.108473,13395200,-0.8001975344770873
1981-01-19,0.146763,0.147321,0.146763,0.146763,0.115034,41574400,6.048509767407562
1981-01-20,0.142857,0.142857,0.142299,0.142299,0.111535,30083200,-3.0417094076533924
1981-01-21,0.145089,0.146205,0.145089,0.145089,0.113722,15904000,1.9608194737078088
1981-01-22,0.146763,0.147879,0.146763,0.146763,0.115034,35548800,1.1536905787798313
1981-01-23,0.146763,0.147321,0.146205,0.146205,0.114597,11222400,-0.37988768537996487
1981-01-26,0.144531,0.144531,0.143973,0.143973,0.112847,24640000,-1.5270905870136242
1981-01-27,0.143973,0.143973,0.142857,0.142857,0.111972,23699200,-0.7753861422988617
1981-01-28,0.138951,0.138951,0.138393,0.138393,0.108473,28156800,-3.124888364948386
1981-01-29,0.133929,0.133929,0.133371,0.133371,0.104537,43904000,-3.6285527274068197
1981-01-30,0.127232,0.127232,0.126116,0.126116,0.098851,46188800,-5.439222476252437
1981-02-02,0.11942,0.11942,0.118862,0.118862,0.093165,23766400,-5.752091531699222
1981-02-03,0.123326,0.123884,0.123326,0.123326,0.096664,19152000,3.7557022486985447
1981-02-04,0.12779,0.128348,0.12779,0.12779,0.100163,27865600,3.6197550277249135
1981-02-05,0.12779,0.128906,0.12779,0.12779,0.100163,7929600,0.0
1981-02-06,0.128348,0.128906,0.128348,0.128348,0.1006,13865600,0.43628884917583655
1981-02-09,0.122768,0.122768,0.121652,0.121652,0.095352,16755200,-5.216699801192837
1981-02-10,0.121652,0.12221,0.121652,0.121652,0.095352,18345600,0.0
1981-02-11,0.118304,0.118304,0.117746,0.117746,0.09229,13843200,-3.2112593338367357
1981-02-12,0.117188,0.117188,0.116629,0.116629,0.091415,14560000,-0.9480983855238878
1981-02-13,0.114955,0.114955,0.113839,0.113839,0.089228,11155200,-2.3923863698517733
1981-02-17,0.116629,0.117188,0.116629,0.116629,0.091415,12275200,2.4510243421347555
1981-02-18,0.121652,0.122768,0.121652,0.121652,0.095352,19241600,4.306733030684251
1981-02-19,0.114955,0.114955,0.114397,0.114397,0.089665,22310400,-5.964216796711142
1981-02-20,0.108817,0.108817,0.108259,0.108259,0.084854,24371200,-5.365527240283274
1981-02-23,0.109933,0.110491,0.109933,0.109933,0.086166,14112000,1.54618521224692
1981-02-24,0.107143,0.107143,0.106027,0.106027,0.083105,16979200,-3.5524452800408612
1981-02-25,0.112723,0.113281,0.112723,0.112723,0.088353,19488000,6.314902833764524
1981-02-26,0.114397,0.114955,0.114397,0.114397,0.089665,10841600,1.484952406822626
1981-02-27,0.118304,0.11942,0.118304,0.118304,0.092728,14761600,3.4160486254391387
1981-03-02,0.118862,0.11942,0.118862,0.118862,0.093165,11760000,0.4712708135622412
1981-03-03,0.117746,0.117746,0.117188,0.117188,0.091853,16172800,-1.4082541727043374
1981-03-04,0.116629,0.116629,0.116071,0.116071,0.090977,13708800,-0.9536977561974025
1981-03-05,0.116071,0.116071,0.115513,0.115513,0.09054,5376000,-0.4803411851347139
1981-03-06,0.115513,0.115513,0.114397,0.114397,0.089665,11603200,-0.9664236801413706
1981-03-09,0.106027,0.106027,0.105469,0.105469,0.082667,15321600,-7.804606033569383
1981-03-10,0.101004,0.101004,0.100446,0.100446,0.07873,28380800,-4.7624807964484095
1981-03-11,0.097656,0.097656,0.09654,0.09654,0.075669,29859200,-3.8879715483297272
1981-03-12,0.100446,0.101004,0.100446,0.100446,0.07873,59248000,4.045249705956189
1981-03-13,0.099888,0.099888,0.09933,0.09933,0.077856,231302400,-1.110123205893565
1981-03-16,0.103237,0.104353,0.103237,0.103237,0.080918,37228800,3.9329017673654043
